Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,C964723
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C52, C54, C58, C60, C70, C71, C78, C79, C84",0402,22,100nF/50V,
"C30, C31, C32, C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86, C89",0603,17,22uF/10V,
"C49, C50, C55, C56",0402,4,220nF/50V,
"C51, C53, C57, C59",0402,4,10uF/10V,
C66,0402,1,1uF/16V,
C87,0402,1,10uF,
C88,0402,1,100nF,
"D1, D2, D21, D3, D5, D6, D7, D8",0402,8,ESD5V0B03,C521894
"D15, D16, D17",D_SMA,3,SS54,C5200096
"D22, D9",0603,2,LED_G,
D24,D_SOD-323,1,3V3 Izt=5mA,SOD-323
"D26, D4",D_SOD-323,2,1N5819WS,C191023
DC78,DC-IN-TH_DC-042C-W-2.0,1,DC-042C-W-2.0,C381108
F1,0603,1,6V/50mA,C7472508
"F2, F3, F78, F79",0805,4,6V/1A,C883108
F4,0805,1,6V/2A,C883112
F5,0805,1,6V/2A,C883108
"H5, H6",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_Pad, C5301799
"H7, H8",MountingHole_3mm_M2_Pad_TopOnly,2,MountingHole_M2.0,C5301801
J15,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,C7498140
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,C7498141
J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,C2906135
J4,USB3_A_Molex_48406-0001_Horizontal_Stacked,1,USB3_A_Stacked,C2895028
J5,USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked,1,USB_A_Stacked,C7527675
J78,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,C394556
"J79, J80",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Socket,C144395
"L1, L2",L_Sunlord_SWPA4020S,2,2.2uH/4.3A,C3222957
LS78,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Speaker,C495685
M1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Fan_4pin,C131334
"Q1, Q8",SOT-23,2,2N7002,C727148
"Q2, Q3, Q4",SOT-23,3,2SK3018,C727148
"R1, R11, R47",0402,3,1K/1%,
"R10, R13, R14, R16, R17, R7, R8, R9",0402,8,470R/1%,
"R15, R18, R19, R3, R30, R5, R52, R53",0402,8,2.2K/1%,
"R2, R34, R35, R49, R58, R78, R79",0402,7,10K/1%,
"R27, R29, R32, R33",0402,4,0R/1%,
R4,0402,1,1M/1%,
"R46, R48, R69",0402,3,100R/1%,
"R51, R76, R77",0402,3,100K/1%,
R57,0402,1,75K/1%,
"R59, R6, R68",0402,3,21.5K/1%,
"R60, R72",0402,2,4.7K/1%,
R80,0402,1,1M,
SW1,SW-TH_TM-007-D1-A-03,1,SW_Push,C5184999
"TP2, TP4",TestPoint_Pad_D1.5mm,2,TestPoint,
"U1, U2",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,TPAZ1023-04F,C1980462
"U15, U16",TSOT-23-6,2,SY8253ADC,C93736
"U3, U4, U5, U78",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,4,ULC0524P,C1980462
U79,21-0136I_T1633-4_MXM,1,MAX98357AETE+T,C910544
