Designator,Mid X,Mid Y,Rotation,Layer
BT1,198.315,-277.43,90.0,top
C17,292.632301,-277.170001,90.0,top
C18,293.552301,-277.17,90.0,top
C19,295.132301,-277.170001,90.0,top
C20,296.052301,-277.17,90.0,top
C21,297.639301,-277.17,90.0,top
C22,298.5593,-277.17,90.0,top
C23,300.131301,-277.17,90.0,top
C24,301.051301,-277.170001,90.0,top
C25,307.142301,-267.88,0.0,top
C26,208.1773,-294.38379,180.0,top
C27,208.1773,-293.38379,180.0,top
C28,208.343002,-296.643898,90.0,top
C29,209.343002,-296.643897,90.0,top
C30,206.317653,-310.504999,270.0,top
C31,204.882331,-287.787797,0.0,top
C32,207.91184,-291.351015,180.0,top
C49,293.9273,-318.131175,0.0,top
C50,293.9273,-319.183114,0.0,top
C51,307.9673,-312.71,180.0,top
C52,307.9673,-311.720229,180.0,top
C53,308.059295,-328.92956,90.0,top
C54,307.077424,-328.929561,90.0,top
C55,293.5073,-297.171403,0.0,top
C56,293.5073,-296.19,0.0,top
C57,307.9673,-305.28,180.0,top
C58,307.9673,-304.25059,180.0,top
C59,307.923037,-287.66,180.0,top
C60,307.923037,-286.74,180.0,top
C64,334.9473,-290.055,90.0,top
C65,285.9473,-325.279063,90.0,top
C66,216.502299,-283.641974,0.0,top
C67,336.5473,-290.055,90.0,top
C68,287.977389,-325.28,90.0,top
C70,317.7973,-276.880614,180.0,top
C71,328.5873,-276.880614,180.0,top
C74,322.729992,-274.859,270.0,top
C75,333.40623,-274.859,270.0,top
C76,321.229992,-274.859,270.0,top
C77,331.90623,-274.859,270.0,top
C78,316.729992,-274.289,90.0,top
C79,327.40623,-274.289,90.0,top
C80,319.729992,-274.859,270.0,top
C81,330.40623,-274.859,270.0,top
C82,318.229992,-274.859,270.0,top
C83,328.90623,-274.859,270.0,top
C84,210.110035,-264.135299,270.0,top
C86,335.1973,-308.740633,270.0,top
C87,337.619563,-301.294948,0.0,top
C88,337.619563,-302.314948,0.0,top
C89,335.195221,-319.813474,90.0,top
D1,302.695301,-275.130999,270.0,top
D15,336.196029,-281.315444,90.0,top
D16,340.096029,-281.315444,90.0,top
D17,343.996029,-281.315444,90.0,top
D2,305.6473,-275.1175,90.0,top
D21,216.522299,-282.646974,180.0,top
D22,208.41122,-330.392324,90.0,top
D24,254.843156,-328.46099,180.0,top
D26,207.8973,-264.128034,180.0,top
D3,303.042301,-268.359999,270.0,top
D4,307.4423,-271.19,0.0,top
D5,204.470523,-297.78,0.0,top
D6,206.440523,-297.78,180.0,top
D7,204.842299,-304.317216,270.0,top
D8,204.842299,-306.302216,90.0,top
D9,293.9473,-330.759327,90.0,top
DC78,457.022299,-287.336974,0.0,top
F1,307.442301,-269.38,0.0,top
F2,203.8048,-313.21,180.0,top
F3,203.800289,-311.257383,180.0,top
F4,204.684799,-289.571015,180.0,top
F5,204.684799,-291.571015,180.0,top
F78,336.144682,-317.28,0.0,top
F79,336.144682,-311.28,0.0,top
H5,283.3723,-261.38,180.0,top
H6,219.7723,-261.38,180.0,top
H7,330.543037,-296.17,90.0,top
H8,330.567299,-321.16,90.0,top
J15,300.7923,-321.16,90.0,top
J16,300.768037,-296.17,90.0,top
J3,298.597299,-262.036974,90.0,top
J4,196.054799,-295.88,270.0,top
J5,196.977115,-315.239998,0.0,top
J78,288.017299,-376.626974,0.0,top
J79,342.5098,-321.03,270.0,top
J80,342.5098,-307.53,270.0,top
L1,321.211062,-279.415062,90.0,top
L2,331.947299,-279.420613,90.0,top
LS78,342.5098,-296.53,270.0,top
M1,207.9473,-260.795243,180.0,top
Q1,307.1273,-277.987499,270.0,top
Q2,303.7173,-277.99,270.0,top
Q3,303.992301,-271.23,270.0,top
Q4,310.574801,-277.979996,270.0,top
Q8,211.194929,-329.992324,90.0,top
R1,214.378069,-287.847692,90.0,top
R10,297.342301,-273.42,270.0,top
R11,306.5973,-275.107499,90.0,top
R13,296.342301,-273.42,270.0,top
R14,294.842301,-273.42,270.0,top
R15,303.642301,-275.13,270.0,top
R16,293.842301,-273.42,270.0,top
R17,292.342301,-273.42,270.0,top
R18,304.122301,-268.36,270.0,top
R19,311.807301,-275.019995,270.0,top
R2,257.563156,-328.46099,90.0,top
R27,307.6273,-317.66,0.0,top
R29,307.9473,-313.704869,0.0,top
R3,305.222301,-268.3525,270.0,top
R30,293.9473,-328.28,90.0,top
R32,307.943037,-294.28,0.0,top
R33,307.943037,-293.28,0.0,top
R34,307.943037,-291.28,0.0,top
R35,307.943037,-292.28,180.0,top
R4,308.5173,-275.0975,270.0,top
R46,224.924873,-330.926012,90.0,top
R47,211.954929,-327.28,180.0,top
R48,216.522299,-284.636974,0.0,top
R49,209.924929,-327.28,0.0,top
R5,304.6573,-275.12,270.0,top
R51,225.924874,-330.926012,270.0,top
R52,208.411219,-327.572324,90.0,top
R53,258.004571,-330.062406,180.0,top
R57,315.396399,-275.432865,90.0,top
R58,315.8573,-276.890614,180.0,top
R59,324.621603,-275.869,180.0,top
R6,307.5473,-275.0875,90.0,top
R60,326.658782,-276.890614,180.0,top
R68,207.6773,-266.741234,0.0,top
R69,204.567452,-264.158206,90.0,top
R7,301.342301,-273.42,270.0,top
R72,207.6773,-265.71,180.0,top
R76,266.9473,-325.77,270.0,top
R77,265.9473,-325.77,270.0,top
R78,244.1473,-311.070004,90.0,top
R79,242.2473,-311.070004,90.0,top
R8,299.842301,-273.42,270.0,top
R80,335.654685,-306.143343,180.0,top
R9,298.842301,-273.42,270.0,top
SW1,458.537299,-274.906974,90.0,top
U1,295.3373,-268.9775,90.0,top
U15,316.3673,-279.68,90.0,top
U16,327.168782,-279.68,90.0,top
U2,298.3473,-268.9775,90.0,top
U3,205.322299,-294.63,180.0,top
U4,203.1523,-315.99,180.0,top
U5,205.322299,-300.65,180.0,top
U78,336.879914,-314.279999,180.0,top
U79,334.389563,-302.564947,90.0,top
