Designator,Mid X,Mid Y,Rotation,Layer
D1,116.16,-125.1,270.0,bottom
D10,302.16,-125.1,270.0,bottom
D11,320.16,-125.1,270.0,bottom
D12,338.16,-125.1,270.0,bottom
D13,356.16,-125.1,270.0,bottom
D14,374.16,-125.1,270.0,bottom
D15,116.16,-142.1,270.0,bottom
D16,134.16,-142.1,270.0,bottom
D17,152.16,-142.1,270.0,bottom
D18,170.16,-142.1,270.0,bottom
D19,188.16,-142.1,270.0,bottom
D2,134.16,-125.1,270.0,bottom
D20,206.16,-142.1,270.0,bottom
D21,284.16,-142.1,270.0,bottom
D22,302.16,-142.1,270.0,bottom
D23,320.16,-142.1,270.0,bottom
D24,338.16,-142.1,270.0,bottom
D25,356.16,-142.1,270.0,bottom
D26,374.16,-142.1,270.0,bottom
D27,116.16,-159.2,270.0,bottom
D28,134.16,-159.2,270.0,bottom
D29,152.16,-159.2,270.0,bottom
D3,152.16,-125.1,270.0,bottom
D30,170.16,-159.2,270.0,bottom
D31,188.16,-159.2,270.0,bottom
D32,206.16,-159.2,270.0,bottom
D33,284.16,-159.1,270.0,bottom
D34,302.16,-159.1,270.0,bottom
D35,320.16,-159.1,270.0,bottom
D36,338.16,-159.1,270.0,bottom
D37,356.16,-159.1,270.0,bottom
D38,374.16,-159.1,270.0,bottom
D39,116.16,-176.2,270.0,bottom
D4,170.16,-125.1,270.0,bottom
D40,134.16,-176.2,270.0,bottom
D41,152.16,-176.2,270.0,bottom
D42,170.16,-176.2,270.0,bottom
D43,188.16,-176.2,270.0,bottom
D44,206.16,-176.2,270.0,bottom
D45,284.16,-176.2,270.0,bottom
D46,302.16,-176.2,270.0,bottom
D47,320.16,-176.2,270.0,bottom
D48,338.16,-176.2,270.0,bottom
D49,356.16,-176.2,270.0,bottom
D5,188.16,-125.1,270.0,bottom
D50,374.16,-176.2,270.0,bottom
D51,116.16,-193.2,270.0,bottom
D52,134.16,-193.2,270.0,bottom
D53,152.16,-193.2,270.0,bottom
D54,170.16,-193.2,270.0,bottom
D55,197.16,-193.2,270.0,bottom
D56,224.16,-193.2,270.0,bottom
D57,259.36,-193.1,270.0,bottom
D58,286.36,-193.2,270.0,bottom
D59,320.16,-193.2,270.0,bottom
D6,206.16,-125.1,270.0,bottom
D60,338.16,-193.2,270.0,bottom
D61,356.16,-193.2,270.0,bottom
D62,374.16,-193.2,270.0,bottom
D7,224.16,-125.1,270.0,bottom
D8,266.16,-125.1,270.0,bottom
D9,284.16,-125.1,270.0,bottom
